"","","tau=1","tau=2","tau=3","tau=4","tau=5"
"S1","Est (SD)","0.854 (0.021)","0.738 (0.027)","0.644 (0.030)","0.566 (0.031)","0.498 (0.031)"
"","Bias (MC error)","0.170 (0.066)","0.166 (0.084)","0.229 (0.094)","0.223 (0.097)","0.189 (0.099)"
"S0","Est (SD)","0.819 (0.015)","0.671 (0.019)","0.547 (0.024)","0.445 (0.029)","0.361 (0.033)"
"","Bias (MC error)","0.002 (0.047)","0.114 (0.061)","0.100 (0.076)","0.137 (0.091)","0.098 (0.105)"
"RD","Est (SD)","0.034 (0.026)","0.067 (0.033)","0.097 (0.040)","0.121 (0.044)","0.138 (0.047)"
"","Bias (MC error)","0.168 (0.082)","0.053 (0.106)","0.129 (0.126)","0.086 (0.139)","0.092 (0.148)"
