"","","k=0","k=1","k=2","k=3","k=4"
"Observed at time k","N","2264","1414","873","509","238"
"","%","100","62","39","22","10"
"Always treated from time 0 to k","N","643","514","397","282","155"
"","%","28","36","46","55","65"
"Never treated from time 0 to k","N","1621","900","475","227","82"
"","%","72","64","54","45","35"
