"","","tau=1","tau=2","tau=3","tau=4","tau=5"
"S1","Est (SD)","0.852 (0.023)","0.736 (0.034)","0.642 (0.042)","0.564 (0.046)","0.497 (0.049)"
"","Bias (MC error)","0.013 (0.074)","0.044 (0.108)","-0.007 (0.134)","0.005 (0.146)","0.001 (0.154)"
"S0","Est (SD)","0.820 (0.018)","0.674 (0.040)","0.558 (0.056)","0.460 (0.067)","0.382 (0.072)"
"","Bias (MC error)","0.100 (0.056)","0.478 (0.125)","1.165 (0.178)","1.631 (0.213)","2.181 (0.229)"
"RD","Est (SD)","0.032 (0.033)","0.062 (0.065)","0.084 (0.086)","0.104 (0.097)","0.115 (0.103)"
"","Bias (MC error)","-0.087 (0.106)","-0.434 (0.204)","-1.172 (0.271)","-1.626 (0.307)","-2.180 (0.327)"
