"","","k=0","k=1","k=2","k=3","k=4"
"Observed at time k","N","3180","2178","1403","806","349"
"","%","100","68","44","25","11"
"Always treated from time 0 to k","N","197","142","98","61","29"
"","%","6","7","7","8","8"
"Never treated from time 0 to k","N","2983","2036","1305","745","319"
"","%","94","93","93","92","92"
