"","","k=0","k=1","k=2","k=3","k=4"
"Observed at time k","N","1000","832","701","596","510"
"","%","100","83","70","60","51"
"Always treated from time 0 to k","N","387","326","278","241","210"
"","%","39","39","40","40","41"
"Never treated from time 0 to k","N","613","352","213","129","77"
"","%","61","42","30","22","15"
