"","","k=0","k=1","k=2","k=3","k=4"
"Observed at time k","N","1000","829","694","588","502"
"","%","100","83","69","59","50"
"Always treated from time 0 to k","N","279","237","204","177","155"
"","%","28","29","29","30","31"
"Never treated from time 0 to k","N","721","424","249","144","82"
"","%","72","51","36","25","16"
