"","","k=0","k=1","k=2","k=3","k=4"
"Observed at time k","N","1000","821","675","556","458"
"","%","100","82","68","56","46"
"Always treated from time 0 to k","N","53","45","39","34","29"
"","%","5","5","6","6","6"
"Never treated from time 0 to k","N","947","731","560","425","319"
"","%","95","89","83","76","70"
